的,de,possessive
一,yī,one
是,shì,indeed
不,bù,no
了,le,to finish
在,zài,be at
人,rén,man
有,yǒu,have
我,wǒ,our
他,tā,other
这,zhè,this
个,gè,numerary adjunct
们,men,adjunct pronoun indicate plural
中,zhōng,central
来,lái,come
上,shàng,top
大,dà,big
为,wèi,do
和,hé,harmony
国,guó,nation
地,de,earth
到,dào,go to
以,yǐ,by means of
说,shuō,speak
时,shí,time
要,yào,necessary
就,jiù,just
出,chū,go out
会,huì,assemble
可,kě,may
也,yě,also
你,nǐ,you
对,duì,correct
生,shēng,life
能,néng,to be able
而,ér,and
子,zi,offspring
那,nà,that
得,dé,obtain
于,yú,in
着,zhe,make move
下,xià,under
自,zì,self
之,zhī,marks preceding phrase as modifier of following phrase
年,nián,
过,guò,pass
发,fā,issue
后,hòu,queen
作,zuò,make
里,lǐ,unit of distance
用,yòng,use
道,dào,path
行,xíng,go
所,suǒ,place
然,rán,yes
家,jiā,house
种,zhǒng,seed
事,shì,affair
成,chéng,completed
方,fāng,a square
多,duō,much
经,jīng,classic works
么,me,interrogative particle
去,qù,go away
法,fǎ,law
学,xué,learning
如,rú,if
都,dōu,metropolis
同,tóng,same
现,xiàn,appear
当,dāng,bear
没,méi,not
动,dòng,move
面,miàn,face
起,qǐ,rise
看,kàn,look
定,dìng,decide
天,tiān,sky
分,fēn,divide
还,hái,still
进,jìn,advance
好,hǎo,good
小,xiǎo,small
部,bù,part
其,qí,his
些,xiē,little
主,zhǔ,master
样,yàng,shape
理,lǐ,reason
心,xīn,heart
她,tā,she
本,běn,root
前,qián,in front
开,kāi,open
但,dàn,only
因,yīn,cause
只,zhǐ,only
从,cóng,from
想,xiǎng,think
实,shí,real
日,rì,sun
军,jūn,army
者,zhě,that which
意,yì,thought
无,wú,negative
力,lì,power
它,tā,it
与,yǔ,and
长,zhǎng,long
把,bǎ,hold
机,jī,desk
十,shí,ten
民,mín,people
第,dì,sequence
公,gōng,fair
此,cǐ,this
已,yǐ,already
工,gōng,labor
使,shǐ,cause
情,qíng,feeling
明,míng,bright
性,xìng,nature
知,zhī,know
全,quán,maintain
三,sān,three
又,yòu,and
关,guān,frontier pass
点,diǎn,dot
正,zhèng,right
业,yè,profession
外,wài,out
将,jiāng,will
两,liǎng,two
高,gāo,high
间,jiān,midpoint
由,yóu,cause
问,wèn,ask about
很,hěn,very
最,zuì,most
重,zhòng,heavy
并,bìng,
物,wù,thing
手,shǒu,hand
应,yīng,should
战,zhàn,war
向,xiàng,toward
头,tóu,head
文,wén,literature
体,tǐ,body
政,zhèng,government
美,měi,beautiful
相,xiāng,mutual
见,jiàn,see
被,bèi,
利,lì,gains
什,shén,file of ten soldiers
二,èr,two
等,děng,
产,chǎn,give birth
或,huò,or
新,xīn,new
己,jǐ,self
制,zhì,system
身,shēn,body
果,guǒ,fruit
加,jiā,add to
西,xī,west(ern)
斯,sī,this
月,yuè,moon
话,huà,speech
合,hé,combine
回,huí,return
特,tè,special
代,dài,replace
内,nèi,inside
信,xìn,trust
表,biǎo,show
化,huà,change
老,lǎo,old
给,gěi,give
世,shì,generation
位,wèi,throne
次,cì,order
度,dù,degree
门,mén,gate
任,rèn,trust to
常,cháng,common
先,xiān,first
海,hǎi,sea
通,tōng,pass through
教,jiào,teach
儿,ér,son
原,yuán,source
东,dōng,east
声,shēng,sound
提,tí,hold in hand
立,lì,stand
及,jí,extend
比,bǐ,to compare
员,yuán,member
解,jiě,loosen
水,shuǐ,water
名,míng,name
真,zhēn,real
论,lùn,debate
处,chù,place
走,zǒu,walk
义,yì,right conduct
各,gè,each
入,rù,enter
几,jǐ,small table
口,kǒu,mouth
认,rèn,recognize
条,tiáo,clause
平,píng,flat
系,xì,system
气,qì,steam
题,tí,forehead
活,huó,live
尔,ěr,you
更,gèng,more
别,bié,separate
打,dǎ,strike
女,nǚ,woman
变,biàn,change
四,sì,four
神,shén,spirit
总,zǒng,collect
何,hé,what
电,diàn,electricity
数,shù,number
安,ān,peaceful
少,shǎo,few
报,bào,report
才,cái,talent
结,jié,knot
反,fǎn,reverse
受,shòu,receive
目,mù,eye
太,tài,very
量,liàng,measure
再,zài,again
感,gǎn,feel
建,jiàn,build
务,wù,affairs
做,zuò,work
接,jiē,receive
必,bì,surely
场,chǎng,open space
件,jiàn,numerary adjunct for article
计,jì,plan
管,guǎn,pipe
期,qī,period of time
市,shì,market
直,zhí,straight
德,dé,ethics
资,zī,property
命,mìng,life
山,shān,mountain
金,jīn,gold
指,zhǐ,finger
克,kè,gram
许,xǔ,allow
统,tǒng,govern
区,qū,area
保,bǎo,protect
至,zhì,reach
队,duì,team
形,xíng,form
社,shè,god of the soil and altars to him
便,biàn,convenience
空,kōng,empty
决,jué,decide
治,zhì,govern
展,zhǎn,open
马,mǎ,horse
科,kē,section
司,sī,take charge of
五,wǔ,five
基,jī,foundation
眼,yǎn,eye
书,shū,book
非,fēi,not
则,zé,rule
听,tīng,hear
白,bái,white
却,què,still
界,jiè,boundary
达,dá,arrive at
光,guāng,light
放,fàng,put
强,qiáng,strong
即,jí,promptly
像,xiàng,a picture
难,nán,difficult
且,qiě,moreover
权,quán,power
思,sī,think
王,wáng,king
象,xiàng,elephant
